player_name,total_minutes,seasons_count,last_team,last_league,last_position,reliability,npg_per90,npxG_per90,shots_per90,assists_per90,xA_per90,key_passes_per90,xGChain_per90,xGBuildup_per90,xG_per_shot,cluster,similarity_to_salah
Mason Mount,1647,2,Manchester United,Premier League,M S,Medium,0.22473386778814564,0.24225515398023195,2.0699172033118676,0.0,0.09728090881905742,1.2064660270732028,0.6270305833080753,0.36420483958896044,0.10997390140801742,3,0.04506005589116416
Theo Bair,912,1,Auxerre,Ligue 1,F S,Medium,0.19736842105263158,0.31350342173889084,2.56578947368421,0.09868421052631579,0.1058826601059225,0.9868421052631579,0.39489560968879805,0.050692339887303345,0.12218594898541386,3,0.04207676714845861
Bernardo Silva,5577,2,Manchester City,Premier League,M S,High,0.09276511397423193,0.12013981189759683,0.9918731417244797,0.1284440039643211,0.16559965032548804,1.5948463825569872,0.7265752278172345,0.5320054681054192,0.11907111816232527,4,0.04145373644635535
Dani Gómez,504,1,Valencia,La Liga,F S,Low,0.3571428571428571,0.48148334059598186,2.321428571428571,0.0,0.005794503459972982,0.17857142857142855,0.4915221464554114,0.004244301401610875,0.20740820825673068,3,0.041038292292974454
Frank Magri,2809,2,Toulouse,Ligue 1,F M S,High,0.3231468922045799,0.30048716691755323,2.448735338705817,0.06462937844091597,0.07952327782291611,0.7611904571930104,0.39905686399000345,0.11569845545221037,0.13342085592327385,3,0.04091040390835707
Juanlu Sanchez,1740,1,Sevilla,La Liga,D F M S,Medium,0.20689655172413793,0.15094072750673215,0.6724137931034483,0.20689655172413793,0.14033272216931497,1.293103448275862,0.49130538191068285,0.2849377609371882,0.22447595372796061,4,0.03935393885719847
Gerrit Holtmann,1075,1,Bochum,Bundesliga,D F M S,Medium,0.16744186046511628,0.13937156762667866,2.26046511627907,0.08372093023255814,0.2191152683524198,1.3395348837209302,0.4962900397389434,0.19294561665765075,0.06165614617229612,4,0.03919827090861089
Matteo Politano,5130,2,Napoli,Serie A,D F M S,High,0.086960340814265,0.1195691546608551,1.8538363564495586,0.18182616715709957,0.20731576392760445,1.6008608195353333,0.489183788537237,0.309245828908897,0.06453062312664448,4,0.03686467477992196
Mattia Zaccagni,4877,2,Lazio,Serie A,F M,High,0.16223711578460828,0.20602920617256507,1.5058932285648254,0.09983822509822049,0.14479641277478203,1.6431707880748787,0.4639933450457018,0.23631687316012998,0.16513170655126522,4,0.0364638162672313
Mateo Kovacic,2220,1,Manchester City,Premier League,M S,High,0.24324324324324326,0.07321916784889795,1.8243243243243243,0.08108108108108109,0.14941121186003894,1.337837837837838,0.6824208544818936,0.5413405082717135,0.04013495126532184,4,0.035923303377191046
Thiago Fernández,919,1,Real Oviedo,La Liga,F M S,Medium,0.0,0.08512702259773204,1.4689880304679,0.39173014145810664,0.2809740352050135,1.1751904243743199,0.40741690771980565,0.168021603814763,0.057949432420233885,4,0.03276667445413578
Maxence Caqueret,3169,2,Como,Serie A,M S,High,0.11433410967605336,0.09512725245367665,0.9527842473004445,0.2667795892441244,0.16168227222857146,1.5625661655727292,0.5759716548085553,0.3937687421039696,0.09939974302122179,4,0.032334830066860415
Xaver Schlager,1844,1,RasenBallsport Leipzig,Bundesliga,M S,High,0.14642082429501085,0.1053098061701804,1.024945770065076,0.04880694143167028,0.10726628519004765,1.024945770065076,0.9928960103638583,0.830161304651495,0.10274671035863105,4,0.030028950031982332
Raul Moro,2980,2,Osasuna,La Liga,M S,High,0.11475932419509083,0.13789596434345347,1.5062161300605672,0.2151737328657953,0.22136324323989284,1.5851131654446922,0.43679274433667403,0.16351097609561588,0.08491123877918966,4,0.029971051063667015
Ilias Akhomach,1480,2,"Rayo Vallecano,Villarreal",La Liga,F M S,Medium,0.05297233666862861,0.2041300385422992,2.4896998234255445,0.06621542083578576,0.16967032100071253,1.3375515008828722,0.5651104683796488,0.2761810204850673,0.08243908846266347,4,0.029347172009459688
Brenner,389,1,Udinese,Serie A,F M S,Low,0.23136246786632386,0.11447448120632026,1.6195372750642674,0.4627249357326477,0.11998701414481228,1.1568123393316196,0.257224783128975,0.041763796578795864,0.07068344950675964,4,0.029313392785683914
Sebastiano Esposito,5121,2,Cagliari,Serie A,F M S,High,0.22466107165913493,0.16957370261796986,2.0490639122014205,0.09683666881859264,0.14457743716461666,1.9173660426081343,0.37432178702227065,0.16769156575905192,0.10138613921117463,4,0.029238172487468156
Tanguy NDombele Alvaro,1426,2,Nice,Ligue 1,M S,Medium,0.060230885059394355,0.1568400281063386,1.0389827672745526,0.19575037644303164,0.17032389479655177,1.4605989626903129,0.5665451830281987,0.29319186011659315,0.17118903919008474,4,0.026193879547685275
Luka Modric,4601,2,AC Milan,Serie A,M S,High,0.07630351844001695,0.05384501522219803,0.7969478592623993,0.1653242899533701,0.2192421348219885,2.178889359898262,0.6545740746406996,0.5598869122921688,0.06607178820503659,4,0.025566200239359772
Danel Sinani,3334,2,St. Pauli,Bundesliga,F M S,High,0.10508562532433835,0.14589819690327635,2.2476647638816813,0.11092371562013494,0.18291872671295928,1.8740269849507007,0.404279439219046,0.2280578457293177,0.0968410830577349,4,0.024059080092714562
Jack Clarke,1151,1,Ipswich,Premier League,M S,Medium,0.0,0.10177894904044375,1.3292788879235446,0.312771503040834,0.20850443607317581,2.1894005212858385,0.42977940465941,0.15043935414037946,0.07656703944153644,4,0.023911014679275887
Marius Wolf,1002,1,Augsburg,Bundesliga,D F M S,Medium,0.08982035928143711,0.1539876374756237,1.2574850299401197,0.08982035928143711,0.33156820812714316,1.8862275449101795,0.3917170588127867,0.1260676163856587,0.12245683551632931,4,0.02131508889572089
Raheem Sterling,486,1,Arsenal,Premier League,F M S,Low,0.0,0.17977478155107407,1.8518518518518519,0.3703703703703704,0.09983023490618777,1.4814814814814816,0.41433717296631245,0.19453201442956924,0.09707838203758,4,0.016013003442968077
Callum Hudson-Odoi,4078,2,Nottingham Forest,Premier League,M S,High,0.17337222742033132,0.1228684281631078,1.476140679178821,0.13869778193626506,0.15581342296225717,1.9615829159557487,0.5103768345870303,0.3004048707111182,0.08347057429602577,4,0.015111233116680972
Sandro Ramírez,2086,1,Las Palmas,La Liga,F M S,High,0.34515819750719073,0.1534119700478999,2.2435282837967403,0.12943432406519656,0.15094818370568558,1.2080536912751678,0.3207920612419097,0.09576448249654738,0.08267358077976565,3,0.014518836345620248
Walid Cheddira,1780,2,"Lecce,Sassuolo",Serie A,F S,Medium,0.25983399494767234,0.3079863211112477,2.349332370985204,0.09743774810537713,0.07785005498985356,0.8552869000360881,0.4042286174580218,0.08905526285890916,0.12985335816948534,3,0.01026978635201969
Jari Vandeputte,1977,1,Cremonese,Serie A,M S,High,0.045523520485584223,0.09607766990935675,0.9104704097116844,0.2276176024279211,0.2853417095808773,2.4582701062215477,0.3370767149209343,0.18781510742779747,0.1055253074504435,4,0.009579824263995913
Mbwana Samatta,1550,1,Le Havre,Ligue 1,F S,Medium,0.11612903225806452,0.34038768947845505,2.4387096774193546,0.05806451612903226,0.1109499177745273,1.0451612903225806,0.46435407504679693,0.10023680930176089,0.1395769626168268,3,0.008757285400021013
Giorgi Kvilitaia,503,1,Metz,Ligue 1,F S,Low,0.3578528827037773,0.23576713924409146,2.147117296222664,0.0,0.2136031766357289,1.610337972166998,0.2064950657901067,0.050996512389384484,0.10980636207386851,3,0.008682529347521777
Pietro Pellegri,411,1,Empoli,Serie A,F S,Low,0.656934306569343,0.11459053188127323,1.751824817518248,0.0,0.13357537615038184,1.313868613138686,0.33864272500041626,0.11073821448605425,0.0654120952822268,3,0.006043726410736451
Lanroy Machine,466,1,Angers,Ligue 1,F S,Low,0.19313304721030042,0.3466078674604581,2.896995708154506,0.0,0.03630669797518861,0.7725321888412017,0.5540268493080792,0.19137294988983305,0.11964390091598034,3,0.005606328438868146
Alexis Sánchez,1713,2,Sevilla,La Liga,F M S,Medium,0.16605166051660517,0.2071222014986391,1.6937269372693726,0.11070110701107011,0.10586749373271898,1.6273062730627306,0.4846927168816878,0.2258853726398296,0.14768894231191387,4,0.005427572352902921
Martim Neto,1367,1,Elche,La Liga,F M S,Medium,0.13167520117044623,0.06852319853785008,0.7900512070226774,0.32918800292611555,0.18545853577679586,1.711777615215801,0.45205918742287915,0.3240639934535653,0.08673260407522321,4,0.0037178159725900634
Vladyslav Vanat,2003,1,Girona,La Liga,F,High,0.26959560659011483,0.3265251923041884,1.2131802296555168,0.044932601098352475,0.09454381993924806,0.5391912131802297,0.3977035606280899,0.0730872017722456,0.35173453280219324,3,0.003399128455526812
Gustav Isaksen,3860,2,Lazio,Serie A,F S,High,0.21647307286166845,0.25336390515590734,2.428722280887012,0.06863780359028512,0.0884288507430109,1.2090813093980994,0.46404267297890495,0.19384588277677456,0.10343461280631325,3,0.0028216597622150452
Ignatius Ganago,844,1,Nantes,Ligue 1,F M S,Low,0.2132701421800948,0.29251598329305367,2.4526066350710902,0.1066350710900474,0.07993067398455471,0.6398104265402843,0.4135751986425917,0.170639615408829,0.15231500161082848,3,-0.0005356758295648467
Jamie Vardy,5010,2,Cremonese,Serie A,F S,High,0.2721119133574007,0.3013457104333404,1.5514440433212997,0.1055956678700361,0.10384223547121947,0.6132671480144405,0.4350198042841245,0.070576268976171,0.2100666548006649,3,-0.0010593502428907914
Adrian Beck,2449,2,FC Heidenheim,Bundesliga,M S,High,0.1775815089730339,0.18477759460435483,1.7842713520623883,0.07610636098844309,0.16955243886135957,1.4375645964483696,0.5016612864027601,0.2949331636310189,0.10129861893928131,4,-0.006168519619722326
Linton Maina,1007,1,FC Cologne,Bundesliga,D F M S,Medium,0.17874875868917575,0.11519052624672858,1.7874875868917577,0.0,0.2846029440224052,1.519364448857994,0.5547045795256207,0.18028409012187321,0.06444269996136427,4,-0.007155954269730452
Mostafa Mohamed,2368,2,Nantes,Ligue 1,F S,High,0.338855421686747,0.35155040981473834,2.8972138554216866,0.0,0.06373831092524454,0.6184111445783133,0.37017529848219644,0.05599081790999015,0.11842222693177691,3,-0.007276172510806622
Ibrahim Diabate,579,1,Alaves,La Liga,F S,Low,0.31088082901554404,0.4238907482301324,2.33160621761658,0.0,0.023004829285212743,0.31088082901554404,0.47176825992492816,0.1119758674170378,0.18180203201870124,3,-0.008431301890991422
Razvan Marin,1374,1,Cagliari,Serie A,M S,Medium,0.06550218340611354,0.044261794130614755,1.5720524017467248,0.13100436681222707,0.21703916341554388,2.1615720524017465,0.5056121882140702,0.38698772114892716,0.09159698686562479,4,-0.0101471159260988
Antoine Joujou,923,1,Le Havre,Ligue 1,F M S,Medium,0.0,0.0798302494546445,1.0725893824485373,0.19501625135427952,0.33959319766606827,1.4626218851570962,0.5438228522428389,0.19942500328852966,0.0744275962087241,4,-0.01150299763302369
Maxime Lopez,1972,1,Paris FC,Ligue 1,M S,High,0.0,0.05457698045445806,0.5933062880324543,0.13691683569979715,0.24214333652482795,2.0081135902636915,0.7227987514121145,0.5440661594324554,0.09198786791127461,4,-0.013099664259927393
Kail Boudache,507,1,Nice,Ligue 1,M S,Low,0.1775147928994083,0.5078005234121219,2.3076923076923075,0.0,0.03537783845597822,0.7100591715976332,0.3849394090429566,0.041508317302317306,0.22004689347858616,3,-0.01310474044590984
Yaya Fofana,646,1,Reims,Ligue 1,F M S,Low,0.1393188854489164,0.11719725423437709,1.8111455108359134,0.1393188854489164,0.24057643193947642,0.9752321981424149,0.5375823923804719,0.2519308501744972,0.06470891131231418,4,-0.019338562461474404
Nicolas Kühn,643,1,Como,Serie A,M S,Low,0.13996889580093314,0.12642594329537724,1.119751166407465,0.13996889580093314,0.20138018479220232,1.5396578538102643,0.5653537722075616,0.26050277022445,0.11290539102628827,4,-0.019464369645604156
Tejero,1227,1,Espanyol,La Liga,D F M S,Medium,0.07334963325183372,0.049112925151121645,1.2469437652811735,0.29339853300733487,0.2441785899434958,2.347188264058679,0.3271329715793319,0.19437571454674807,0.03938663997413481,4,-0.01973150579038581
Javi Puado,3710,2,Espanyol,La Liga,F M S,High,0.19127970631802665,0.2879619600386034,2.080891350550654,0.09274167579055839,0.09660579639883982,0.7998969536935661,0.4026729230528875,0.1154853567267989,0.2023968930068299,3,-0.02168610029310611
Lucas Cepeda,390,1,Elche,La Liga,M S,Low,0.23076923076923078,0.25704252311530024,3.0,0.0,0.061507650292836696,1.3846153846153846,0.437075556255877,0.19453515355976728,0.08568084103843342,3,-0.02341027410410767
Aron Dønnum,2438,1,Toulouse,Ligue 1,D F M,High,0.036915504511895,0.08577666171292382,1.4766201804758,0.14766201804758,0.2321641075549383,2.3256767842493846,0.4143345518797098,0.21990848682634379,0.11509699607267976,4,-0.023448904688368327
Timothy Weah,1636,1,Juventus,Serie A,D F M S,Medium,0.27506112469437655,0.2051929178110308,1.1552567237163813,0.11002444987775059,0.10978312013001343,1.0452322738386308,0.5067020556422674,0.27760628600602555,0.17761672674013035,3,-0.027292360533572146
Romain Faivre,1493,2,Auxerre,Ligue 1,F M S,Medium,0.1096892138939671,0.13618115655791824,1.796160877513711,0.24680073126142593,0.19364000800350029,1.2340036563071297,0.37317217157394295,0.19726952107136272,0.09579210427350172,4,-0.02764524205053016
Diego Moreira,2586,1,Strasbourg,Ligue 1,D F M S,High,0.06960556844547564,0.08406238935092623,0.9048723897911833,0.24361948955916474,0.2695121323763287,1.0440835266821344,0.5581346713006496,0.2980658862515074,0.09289971746217746,4,-0.028013560022023862
Sammie Szmodics,1025,1,Ipswich,Premier League,M S,Medium,0.35121951219512193,0.39636423267969273,1.8439024390243903,0.0,0.017073877228469377,0.43902439024390244,0.4714710874164977,0.0639655152108611,0.21495943835803444,3,-0.03162461478717808
Nathan Tella,1385,1,Bayer Leverkusen,Bundesliga,D F M S,Medium,0.1299638989169675,0.22072485116199467,1.819494584837545,0.259927797833935,0.08729983868904492,1.1696750902527075,0.4087392577787169,0.13202356867196327,0.1213110789124455,3,-0.031935023224917744
Youri Tielemans,4910,2,Aston Villa,Premier League,M S,High,0.05023022185014649,0.08787879618582564,1.1887819171201337,0.200920887400586,0.19710459355023202,1.6743407283382168,0.5611136320521514,0.4280452006884378,0.08450266039381932,4,-0.03255274827261742
Piotr Zielinski,2995,2,Inter,Serie A,M S,High,0.16039349871685202,0.07302040295154366,1.3665526090675792,0.14756201881950384,0.15180614932660902,1.2639007698887939,0.6202712487246145,0.5038210737357239,0.09566182136217695,4,-0.03325125583988328
Denis Zakaria,2156,1,Monaco,Ligue 1,M S,High,0.16697588126159554,0.12204790506892055,1.2940630797773656,0.16697588126159554,0.06631427259635396,0.6679035250463822,0.7056280182318586,0.5986729891303795,0.1433521164280753,4,-0.03406132988318085
Fernando López,1833,2,Celta Vigo,La Liga,F M S,High,0.1374691575608037,0.20864913038512875,1.5333098343320408,0.052872752908001405,0.1634872892190652,1.1737751145576314,0.6075503851510624,0.29864898212792423,0.1382985933553133,4,-0.03476506865934301
Hugo Bolin,534,1,Borussia M.Gladbach,Bundesliga,M S,Low,0.16853932584269662,0.19574155633369186,2.528089887640449,0.16853932584269662,0.08553234860301018,1.348314606741573,0.40346216263898305,0.16488202774290292,0.07742666006088256,4,-0.03514785107607256
Brian Brobbey,1943,1,Sunderland,Premier League,F S,High,0.3242408646423057,0.32942341012679854,1.667524446731858,0.04632012352032939,0.06987080776539586,0.6948018528049408,0.43022531817599596,0.07415456423172616,0.19755237218406468,3,-0.03556217817665554
Andrea Pinamonti,5496,2,Sassuolo,Serie A,F S,High,0.3110514759697487,0.30208225231131464,2.4920712368870457,0.06952915345206148,0.059542263639674124,0.5306172237131007,0.4011324830135141,0.10808162205784633,0.13096983082016128,3,-0.04084191776938394
Hamidou Makalou,292,1,Brest,Ligue 1,M S,Low,0.0,0.04088108188613022,1.2328767123287672,0.0,0.34102599761665686,2.1575342465753424,0.6195565234640077,0.5518856137187208,0.0331590997520834,4,-0.04110887949434018
Pablo Martínez,1878,1,Levante,La Liga,M S,High,0.047923322683706075,0.09178468341620775,1.34185303514377,0.23961661341853036,0.262449202722849,1.7252396166134185,0.3912070083964509,0.2364972436104339,0.06840144264112626,4,-0.04118921355389686
Mohammed Kudus,4211,2,Tottenham,Premier League,F M,High,0.14657184734813528,0.19885156583986383,2.100863145323272,0.1807719450627002,0.1357908271683658,1.1383746810705173,0.4335246964820749,0.1559952485235213,0.09396872599468338,4,-0.04487552466619188
Oumar Diakité,1696,1,Reims,Ligue 1,F S,Medium,0.2122641509433962,0.2848262285796117,1.4327830188679245,0.05306603773584905,0.09220841761353374,0.5837264150943396,0.5435797734019119,0.2312229506842757,0.22694396917466766,3,-0.04747609744308107
Zinedine Ferhat,799,1,Angers,Ligue 1,M S,Low,0.2252816020025031,0.08210696599379798,1.3516896120150188,0.0,0.3489465447368849,1.9148936170212765,0.3924319939279885,0.06067398408700587,0.060743949841707945,4,-0.050068145666995766
Christantus Uche,2812,2,Getafe,La Liga,F,High,0.16409098801875324,0.16699367756048905,1.7971870116339639,0.22660184059732594,0.15857150213138618,1.0626844938357352,0.41549029463637216,0.13767647259079668,0.09067826968575853,4,-0.05022927868459859
Cyle Larin,1781,1,Mallorca,La Liga,F S,Medium,0.30320044918585065,0.32852031601146325,1.9708029197080292,0.10106681639528356,0.07992315342977166,0.40426726558113424,0.3388567092937743,0.06595397300093714,0.18575204130357656,3,-0.05106365971954231
Roberto López,374,1,Leganes,La Liga,M S,Low,0.0,0.14583028605167958,1.6844919786096255,0.24064171122994654,0.21390353244814006,2.406417112299465,0.2417582310462261,0.05224482559743411,0.08657226505290185,4,-0.051831968386691865
Philip Otele,504,1,Hamburger SV,Bundesliga,F M S,Low,0.17857142857142855,0.17973140414272035,1.25,0.17857142857142855,0.17174411465280823,1.607142857142857,0.3705226124397346,0.0563171984893935,0.14378512331417628,4,-0.054076667770565724
Wahbi Khazri,1084,1,Montpellier,Ligue 1,F M S,Medium,0.08302583025830258,0.13788302991766058,2.988929889298893,0.08302583025830258,0.16774389972717835,1.4114391143911438,0.4444109876313663,0.19186172238293334,0.04613123593541482,4,-0.06204248495966155
Exequiel Palacios,2213,2,Bayer Leverkusen,Bundesliga,M S,High,0.0362501258684926,0.06762588251591803,0.9243782096465613,0.2628134125465713,0.1461862836266804,1.6040680696807976,0.6172087701123239,0.5009327368258788,0.0701143084962058,4,-0.06347155918796975
Pathé Mboup,1028,1,Brest,Ligue 1,M S,Medium,0.08754863813229571,0.31071943814362535,2.0136186770428015,0.0,0.12744151766082193,0.7879377431906615,0.6331521081683816,0.19670615538932992,0.1543089770104574,3,-0.06555152954076345
Giovanni Reyna,806,2,Borussia M.Gladbach,Bundesliga,M S,Low,0.31544890806147213,0.09630677781659627,1.1404691291453222,0.0,0.23315712186086293,1.6500404421677002,0.5206609289514654,0.23862044379440528,0.08058184522320287,4,-0.0659179799452285
Angel Gomes,2144,2,Marseille,Ligue 1,M S,High,0.1715145436308927,0.13655822660396605,1.0922768304914745,0.03610832497492478,0.12338648822790044,1.58876629889669,0.6520721180992222,0.44217021118124633,0.15167054148276643,4,-0.06672528887374057
